gm_dataset_name,gm_well_category,gm_data_source,gm_well_id,gm_chemical_vvl,gm_chemical_name,gm_result_modifier,gm_result,gm_result_units,gm_samp_collection_date,gm_reporting_limit,gm_latitude,gm_longitude,reference_date,days_since_first_measurement,,,,,,,,,,
DWR,"WATER SUPPLY, OTHER",WDL,18S37E34A001SM,PB,Lead,NA,0,UG/L,11/17/1945,1,36.3291,-117.947,11/17/1945,0,,,,,,,,,,
DWR,"WATER SUPPLY, OTHER",WDL,14S20E10M001M,PB,Lead,NA,0,UG/L,5/2/1947,1,36.7286,-119.787,11/17/1945,531,,,,,,,,,,
DWR,"WATER SUPPLY, OTHER",WDL,14S21E06E001M,PB,Lead,NA,0,UG/L,5/2/1947,1,36.7463,-119.736,11/17/1945,531,,,,,,,,,,
DWR,"WATER SUPPLY, OTHER",WDL,10N02W36R001S,PB,Lead,NA,0,UG/L,12/18/1951,1,34.9095,-117.035,11/17/1945,2222,,,,,,,,,,
DWR,"WATER SUPPLY, OTHER",WDL,10N01W32P003S,PB,Lead,NA,0,UG/L,12/18/1951,1,34.9095,-117.008,11/17/1945,2222,,,,,,,,,,
DWR,"WATER SUPPLY, OTHER",WDL,17S08E32F001SS,PB,Lead,NA,0,UG/L,4/13/1952,1,32.651,-116.192,11/17/1945,2339,,,,,,,,,,
DWR,"WATER SUPPLY, OTHER",WDL,18S08E07J002SS,PB,Lead,NA,0,UG/L,5/12/1952,1,32.6183,-116.201,11/17/1945,2368,,,,,,,,,,
DWR,"WATER SUPPLY, OTHER",WDL,10N02W14A001M,PB,Lead,NA,0,UG/L,7/2/1953,1,38.7216,-122.046,11/17/1945,2784,,,,,,,,,,
DWR,"WATER SUPPLY, OTHER",WDL,10N02W18F002M,PB,Lead,NA,0,UG/L,7/3/1953,1,38.7141,-122.129,11/17/1945,2785,,,,,,,,,,
DWR,"WATER SUPPLY, OTHER",WDL,12N03W18G001M,PB,Lead,NA,0,UG/L,7/3/1953,1,38.8916,-122.233,11/17/1945,2785,,,,,,,,,,
DWR,"WATER SUPPLY, OTHER",WDL,11N03W26M002M,PB,Lead,NA,0,UG/L,7/3/1953,1,38.7723,-122.168,11/17/1945,2785,,,,,,,,,,
DWR,"WATER SUPPLY, OTHER",WDL,43N16E13B001M,PB,Lead,NA,0,UG/L,7/13/1954,1,41.5994,-120.096,11/17/1945,3160,,,,,,,,,,
DWR,"WATER SUPPLY, OTHER",WDL,42N17E06P001M,PB,Lead,NA,0,UG/L,8/13/1954,1,41.5309,-120.083,11/17/1945,3191,,,,,,,,,,
DWR,"WATER SUPPLY, OTHER",WDL,05N04W27H002M,PB,Lead,NA,0,UG/L,8/17/1954,1,38.2517,-122.285,11/17/1945,3195,,,,,,,,,,
DWR,"WATER SUPPLY, OTHER",WDL,10N01E29L002H,PB,Lead,NA,0,UG/L,8/18/1954,1,41.2213,-124.091,11/17/1945,3196,,,,,,,,,,
DWR,"WATER SUPPLY, OTHER",WDL,10N01E29M00?H,PB,Lead,NA,0,UG/L,8/18/1954,1,41.2214,-124.095,11/17/1945,3196,,,,,,,,,,
DWR,"WATER SUPPLY, OTHER",WDL,10N01E04C00?H,PB,Lead,NA,0,UG/L,8/18/1954,1,41.2864,-124.072,11/17/1945,3196,,,,,,,,,,
DWR,"WATER SUPPLY, OTHER",WDL,10N01E05C00?H,PB,Lead,NA,0,UG/L,8/18/1954,1,41.2864,-124.091,11/17/1945,3196,,,,,,,,,,
DWR,"WATER SUPPLY, OTHER",WDL,11N01E32J00?H,PB,Lead,NA,0,UG/L,8/19/1954,1,41.2942,-124.081,11/17/1945,3197,,,,,,,,,,
